Latitude,Longitude,Occurrence Status
-33.1218,150.3207,1
-36.592,148.1723,0
-35.4551,146.6935,0
-33.0763,149.5472,1
-35.5297,146.6273,0
-32.5614,148.4035,0
-37.5492,147.8157,0
-36.4277,143.5531,1
-37.2229,149.5942,0
-36.9145,144.3373,1
-32.612,147.2126,0
-34.5321,150.2181,1
-36.3698,146.0783,0
-34.0865,151.073,1
-37.8915,144.7586,1
-38.359,144.249,1
-36.1601,142.9146,0
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-37.8917,143.3632,1
-33.2983,150.1234,1
-34.947,149.2582,1
-34.947,149.2582,1
-34.947,149.2582,1
-34.947,149.2582,1
-36.8295,141.0074,0
-38.18,146.1472,1
-35.0206,150.4959,1
-36.7868,142.6623,0
-36.5794,141.1233,0
-36.848,145.503,1
-38.1703,144.5106,1
-34.8393,150.512,0
-34.3768,150.8855,1
-33.5308,150.654,1
-37.8541,144.0306,1
-33.6902,150.543,1
-36.0553,146.9809,1
-36.3884,141.5112,0
-33.9633,151.0455,1
-38.1779,144.459,1
-33.1869,147.7265,0
-35.5403,142.4757,0
-37.4217,143.8962,1
-38.2566,144.5497,1
-33.4328,146.3313,0
-35.1973,148.2,1
-35.1417,150.1595,1
-32.7938,149.4492,1
-33.7073,150.9085,1
-38.523,142.7322,1
-38.3882,143.6224,1
-37.4239,143.8967,1
-33.1224,150.3226,1
-38.3566,144.982,1
-35.9465,148.6293,1
-35.648,150.294,1
-38.1492,145.9312,1
-37.4098,144.6233,1
-38.5834,146.2636,1
-34.0385,150.4136,0
-32.5388,148.6253,0
-37.8076,145.2636,1
-37.8076,145.2636,1
-37.8076,145.2636,1
-37.8076,145.2636,1
-37.5864,143.699,1
-34.2878,146.4397,0
-35.2781,149.1096,1
-37.6645,145.182,1
-37.4306,144.8509,1
-35.075,150.4024,0
-37.2787,145.1908,1
-37.8918,143.3632,1
-34.6075,144.7762,0
-32.1694,148.586,1
-33.4709,150.171,1
-37.873,147.579,1
-34.535,145.5084,0
-34.8257,149.8251,1
-34.8257,149.8251,1
-34.8257,149.8251,1
-34.8257,149.8251,1
-35.5598,142.0812,0
-35.3904,148.9228,1
-36.5577,146.078,1
-36.5577,146.078,1
-36.5577,146.078,1
-36.5577,146.078,1
-34.2911,149.7365,1
-34.6854,144.0519,0
-37.7326,144.0554,1
-37.8794,145.5739,1
-36.5216,141.475,0
-37.6401,140.832,1
-36.8233,144.3483,1
-38.3675,144.2516,1
-37.7884,145.044,1
-35.9998,146.377,1
-33.7667,150.9744,1
-34.0604,151.0796,1
-34.0604,151.0796,1
-34.0604,151.0796,1
-34.0604,151.0796,1
-37.167,149.5869,0
-37.3401,144.1603,1
-35.0168,142.8498,0
-34.7477,150.8132,1
-33.7128,150.6029,1
-37.3444,144.1558,1
-37.6394,145.187,1
-37.6309,145.7576,0
-37.0504,144.1823,1
-36.3662,146.6997,1
-36.3662,146.6997,1
-36.3662,146.6997,1
-36.3662,146.6997,1
-36.574,149.4066,0
-37.8096,145.6373,1
-37.2819,148.2726,0
-34.8083,148.8949,1
-33.5906,147.0885,0
-36.2306,150.0942,1
-36.2306,150.0942,1
-36.2306,150.0942,1
-36.2306,150.0942,1
-33.5263,150.7053,1
-33.9491,149.4057,1
-33.0048,145.7715,0
-31.6038,148.7292,0
-37.6707,143.9548,1
-34.0338,151.1665,1
-33.5269,146.9889,0
-36.267,146.2761,0
-36.0247,146.99,1
-33.2327,146.1968,0
-37.8916,143.3633,1
-33.5146,144.984,0
-36.9636,147.406,0
-33.5168,149.355,1
-37.5027,145.171,1
-34.4961,150.777,1
-37.7753,146.7529,0
-35.1289,149.344,1
-37.898,143.363,1
-37.5773,143.8814,1
-34.4937,150.7664,1
-37.8074,145.2636,1
-33.0955,150.3798,1
-37.7667,145.2546,1
-37.7302,144.0523,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-34.4966,150.7769,1
-38.257,144.549,1
-35.4384,149.7994,1
-37.8174,140.777,0
-34.2588,150.0675,0
-32.984,149.756,1
-37.5854,141.8229,0
-38.1146,145.9592,1
-36.5706,145.6863,0
-37.7924,145.387,1
-32.3347,149.6329,0
-36.6655,141.509,0
-38.7316,145.9864,1
-34.7394,150.5479,1
-34.0469,151.0853,1
-33.7551,150.6229,1
-37.8951,145.342,1
-33.1135,146.8795,0
-33.5054,150.6621,1
-33.9993,149.1652,0
-37.4223,145.071,1
-34.6491,149.1831,1
-37.0734,144.5025,1
-33.77,150.9685,1
-34.0671,150.77,1
-36.0459,149.5247,0
-35.9202,150.085,1
-37.5776,143.8813,1
-36.4919,147.0932,0
-33.7562,150.6233,1
-38.1037,141.9839,0
-35.4162,149.2343,1
-37.1333,143.96,1
-38.2573,144.5521,1
-35.129,148.2771,0
-37.9554,143.3322,1
-37.8568,143.0644,0
-38.3729,145.1201,1
-37.6401,148.4385,0
-37.7524,144.971,1
-37.8074,145.2639,1
-36.7222,142.2089,1
-35.0907,150.6489,1
-37.3452,148.001,0
-32.1541,148.7856,0
-37.9623,144.1349,1
-37.7908,145.596,1
-35.7676,141.4601,0
-35.2517,143.1857,1
-36.0396,146.9848,1
-38.2002,143.9817,0
-38.6698,146.2069,1
-37.2522,149.2921,0
-38.1985,145.12,1
-37.8079,145.5643,1
-33.1987,148.8447,1
-34.3278,148.299,1
-35.4987,146.5457,0
-34.4634,150.7596,1
-37.8564,145.3197,1
-35.6604,145.0507,0
-37.0642,145.3014,1
-36.1993,148.3076,0
-31.4355,148.5539,1
-34.0184,150.852,1
-37.4862,145.138,1
-33.9904,148.2017,0
-37.7322,144.0576,1
-35.3212,145.8973,0
-37.0476,146.5932,0
-33.8685,149.9184,0
-36.2673,150.0869,1
-37.7911,140.3687,0
-34.3201,150.5701,1
-34.3201,150.5701,1
-34.3201,150.5701,1
-34.3201,150.5701,1
-36.6894,144.3279,1
-33.718,150.427,1
-34.2246,149.5161,1
-33.2034,147.3166,0
-37.9423,146.7266,1
-37.8077,145.2634,1
-33.4901,150.2102,1
-32.8779,149.2886,1
-34.3724,150.8901,1
-35.6912,146.9548,1
-35.6966,144.5892,0
-36.3311,149.0082,0
-38.2588,145.1836,1
-37.3721,145.7411,0
-37.5874,149.219,0
-37.6936,140.2972,1
-37.8546,144.163,1
-33.6473,150.267,1
-36.5646,140.8886,0
-37.949,143.3073,1
-36.2807,141.6988,1
-36.3216,146.3013,1
-38.4596,145.222,1
-36.0226,147.9598,0
-38.0469,147.2177,1
-37.4533,143.8641,1
-33.603,150.7404,1
-34.9209,143.2087,0
-34.6832,150.7924,1
-33.9137,150.9658,1
-37.3436,144.1785,1
-37.7458,149.3998,0
-33.7133,150.4752,1
-34.7201,150.8224,1
-35.0942,149.353,1
-35.3837,149.2026,1
-35.1982,149.3428,1
-36.3209,146.3016,1
-36.193,144.4772,0
-34.4902,145.5262,0
-34.0584,151.067,1
-37.875,143.4192,1
-34.4937,150.7665,1
-34.4041,145.2698,0
-34.0382,151.077,1
-31.1349,148.8873,1
-37.7476,145.2871,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-37.8917,143.3633,1
-38.2568,144.549,1
-37.1113,143.0256,1
-35.9909,145.9919,1
-35.155,146.1724,0
-37.6789,145.8139,1
-38.3729,144.173,1
-37.8056,147.4132,1
-33.72,150.5991,1
-34.5395,150.387,1
-38.182,146.3131,1
-32.6936,148.743,0
-35.4253,142.4342,0
-36.5016,146.4268,1
-34.2819,148.368,1
-34.7916,142.9245,0
-37.8948,144.2187,1
-35.1599,149.1173,1
-33.7368,150.6184,1
-33.9633,150.9538,1
-32.2098,147.9599,0
-32.1836,149.3001,0
-35.2661,145.911,0
-33.3634,147.1302,0
-38.029,145.1719,0
-36.6211,148.5097,0
-36.6211,148.5097,0
-36.6211,148.5097,0
-36.6211,148.5097,0
-34.7542,148.0761,1
-32.8036,146.6852,0
-34.3551,144.773,0
-36.1213,146.893,1
-35.1576,147.3718,1
-37.9669,144.1114,1
-33.7561,150.6236,1
-33.6975,150.392,1
-33.7852,150.984,1
-34.9201,147.3917,0
-35.8257,149.5866,1
-35.7687,146.7587,0
-35.5849,149.7976,0
-33.7996,144.9412,0
-31.693,148.9816,0
-34.9757,149.0339,1
-34.3346,144.6933,0
-34.3401,150.9105,1
-35.0094,150.5124,1
-37.7582,145.0814,1
-32.1942,148.9003,1
-36.6786,144.2947,1
-37.8712,145.083,1
-37.4085,145.5089,1
-34.2278,150.9896,1
-37.3872,144.3197,1
-34.6236,149.9967,0
-34.0423,151.112,1
-34.037,151.0468,1
-36.0342,146.9855,1
-33.1024,147.1081,0
-33.7691,150.4817,1
-36.9879,143.5685,0
-35.4602,146.8599,0
-34.5575,150.4324,1
-37.6926,145.3318,1
-37.8796,143.3663,1
-34.2396,148.6538,0
-36.0553,146.7554,1
-33.0324,149.417,1
-34.6912,149.0752,1
-34.9689,149.029,1
-34.7756,144.7358,0
-34.0163,146.2728,0
-33.9267,147.9304,0
-33.4553,149.1525,1
-35.2366,143.4789,1
-34.5451,150.7795,1
-37.5962,144.2394,1
-37.3438,144.1785,1
-37.3438,144.1785,1
-37.3438,144.1785,1
-37.3438,144.1785,1
-35.3294,143.561,1
-33.6873,150.4924,1
-37.9765,147.0978,1
-36.4535,145.4624,0
-34.637,147.1098,0
-34.1478,150.827,1
-38.149,145.9292,1
-34.4802,150.8961,1
-37.2379,144.339,1
-35.2237,149.622,1
-37.6009,145.0028,1
-33.7553,150.6237,1
-33.7553,150.6237,1
-33.7553,150.6237,1
-33.7553,150.6237,1
-36.1291,144.3932,0
-36.4063,141.7098,0
-37.73,144.0524,1
-37.7616,144.9566,1
-37.794,145.3035,1
-37.8914,143.3628,1
-36.6219,149.6445,1
-37.4811,143.8091,0
-35.0994,145.8297,0
-37.704,141.5261,0
-37.349,144.7506,1
-35.8543,147.284,1
-37.5041,149.9098,1
-34.3219,149.3638,1
-38.3749,144.7751,1
-33.2713,145.404,0
-38.149,142.8863,0
-36.9725,144.1794,1
-38.1672,143.2559,1
-37.7236,145.6862,0
-33.7612,150.887,1
-33.3427,149.015,1
-35.1681,147.6777,0
-38.296,144.3943,1
-34.596,143.4801,0
-34.8902,150.6,1
-33.196,146.1984,0
-32.2765,148.5349,1
-37.2276,145.9076,1
-34.9708,149.03,1
-38.3406,146.324,1
-34.4293,150.8079,1
-38.0076,145.129,1
-33.7493,150.9821,1
-34.9471,149.2583,1
-35.3844,142.1927,0
-34.7343,149.4328,1
-34.4423,150.839,1
-36.6212,142.6386,0
-37.8492,145.192,1
-36.3662,147.7395,0
-37.7708,145.102,1
-34.1499,149.3727,0
-35.5875,150.3461,1
-33.9666,146.3213,0
-38.4834,145.9617,1
-33.5049,146.5457,0
-37.598,144.2325,1
-35.5257,150.392,1
-33.8611,148.2769,0
-37.5379,143.791,1
-35.2871,145.2653,0
-33.5393,150.4223,1
-37.8081,145.2634,1
-37.4442,142.7516,0
-33.7028,150.286,1
-34.1685,150.5903,1
-35.7838,150.227,1
-37.7528,145.6995,1
-33.5418,147.3454,0
-36.6705,143.0911,0
-34.8901,150.599,1
-33.8818,145.2003,0
-37.0509,144.216,1
-35.7422,145.3719,0
-33.4726,150.171,1
-36.3741,147.5079,0
-34.0802,151.0188,1
-35.0586,142.8558,0
-32.01,149.7771,0
-34.0895,150.8134,1
-32.2243,147.9313,0
-37.4759,142.0403,0
-37.7327,147.6728,1
-35.244,148.9515,1
-32.8566,149.9772,0
-34.001,151.0608,1
-32.1474,147.1723,0
-37.7157,143.8487,1
-32.2054,147.6749,0
-34.0011,151.0785,1
-38.1603,147.087,1
-35.2506,149.6281,1
-32.0828,149.2677,1
-34.5408,146.429,1
-37.5382,144.1199,1
-33.332,145.387,0
-37.8917,143.3636,1
-35.6211,145.3417,0
-33.3624,147.1819,0
-33.7198,150.9283,1
-35.1261,145.7354,0
-35.7544,150.1993,1
-34.6527,144.0467,0
-36.0556,146.9806,1
-34.7534,146.546,1
-34.4929,150.7686,1
-34.4929,150.7686,1
-34.4929,150.7686,1
-34.4929,150.7686,1
-33.774,150.9693,1
-36.632,144.6685,1
-37.6724,144.594,1
-34.1592,151.0738,1
-34.23,146.033,1
-36.0427,145.0087,1
-34.8312,145.9042,0
-34.0569,151.152,1
-37.8997,145.356,1
-36.7678,147.1246,0
-33.4788,148.984,1
-37.8852,140.7431,0
-37.5491,149.4609,0
-32.2588,148.585,1
-32.2588,148.585,1
-32.2588,148.585,1
-32.2588,148.585,1
-34.2781,146.0804,1
-33.8446,150.899,1
-33.8957,147.4422,0
-36.1576,147.9671,0
-34.4385,150.7139,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-37.8074,145.2637,1
-34.4214,145.0958,0
-38.0074,145.9991,1
-38.4469,146.2207,1
-33.7836,145.3995,0
-34.2175,150.6008,1
-35.2777,144.5099,1
-33.5429,147.731,0
-35.8279,150.172,1
-34.4704,148.4809,1
-37.5378,146.902,0
-34.5803,150.774,1
-34.4062,148.2339,0
-34.0035,151.0669,1
-35.2783,149.1128,1
-37.8409,144.0737,1
-33.9615,150.4079,0
-34.6765,150.8037,1
-33.9038,151.073,1
-32.7052,148.243,0
-34.6673,150.2796,1
-31.556,148.2893,0
-34.755,149.731,1
-37.0499,144.2172,1
-33.6921,150.5327,1
-33.7007,150.5838,1
-36.7725,144.5402,1
-33.4522,148.4444,0
-37.4739,143.9516,1
-36.2758,146.6139,1
-37.0637,144.7571,0
-35.1091,147.371,1
-34.5886,150.536,1
-36.9381,149.4282,0
-37.5872,142.3183,1
-33.695,150.7255,1
-33.9181,150.944,1
-34.8146,149.597,1
-35.8001,148.4769,0
-35.5898,149.4941,1
-32.6217,149.1143,0
-36.5769,144.7898,0
-33.6768,149.0721,1
-35.4313,149.2102,1
-38.0729,142.8504,0
-36.7297,141.7394,0
-33.7581,150.8582,1
-34.1906,150.9851,1
-35.9197,150.0853,1
-35.3473,149.2374,1
-34.1889,143.9668,0
-34.5902,150.8633,1
-37.5508,144.7252,1
-37.3437,144.1787,1
-35.4282,149.132,1
-35.0305,143.3191,0
-35.1549,149.3292,1
-35.9462,148.6266,1
-32.4877,150.1261,0
-34.3364,145.1621,0
-36.1884,145.8437,0
-34.6721,150.7163,1
-34.5315,150.218,1
-34.5315,150.218,1
-34.5315,150.218,1
-34.5315,150.218,1
-38.0178,143.4551,1
-37.3073,145.3239,1
-33.6594,150.6823,1
-33.242,150.206,1
-35.5471,149.442,1
-33.316,149.01,1
-37.7623,145.367,1
-32.3302,147.1675,0
-37.3435,144.1754,1
-34.1,144.3543,0
-38.1702,144.5108,1
-35.1835,149.0833,1
-35.7116,147.8688,0
-32.4483,147.782,0
-32.9762,149.9616,1
-37.1191,143.8165,1
-37.8685,145.295,1
-38.2569,144.5488,1
-36.3757,143.8328,0
-36.125,148.445,0
-33.6929,144.7226,0
-35.4208,149.243,1
-37.7458,145.1717,1
-37.9782,147.071,1
-34.7346,150.789,1
-35.0431,150.6683,1
-36.0476,146.1068,0
-34.231,150.985,1
-37.3959,141.06,0
-37.8826,144.5298,1
-34.4563,150.263,1
-33.605,150.8831,1
-35.826,148.06,1
-35.4726,146.4716,0
-33.6564,150.3247,1
-37.4766,147.323,0
-37.6338,143.7849,1
-37.8179,145.2578,1
-36.816,144.346,1
-36.799,144.3575,1
-32.5407,146.9045,0
-36.5285,148.3014,0
-34.8904,150.186,1
-33.405,147.972,1
